id,aid,condition,block,trial,event,stimulus_h,stimulus_s,pd,classification,time,score,human_p,system_p,system_output
2,Student,2,2,17,Blue,1.5275379711865598,-0.2989962468509533,False,Blue,07:25:59.252139,23.9,0.96,0.92,Orange
2,Student,2,2,18,Blue,0.9044970964135862,1.9872150428421584,False,Blue,07:26:00.769479,25.9,0.86,1.0,Blue
2,Student,2,2,19,Blue,-0.0101023468285152,1.410573312595158,False,Blue,07:26:02.227806,27.9,0.49,0.94,Blue
2,Student,2,2,20,Orange,0.6367435852432484,-0.8861849639611252,False,Blue,07:26:03.564161,25.9,0.78,0.38,Orange
2,Student,2,2,21,Blue,0.5313981004184224,0.4988820084534218,False,Blue,07:26:04.988284,27.9,0.74,0.89,Blue
2,Student,2,2,22,Blue,1.2510178198159638,1.0020694849578762,False,Blue,07:26:06.686757,29.9,0.92,0.99,Blue
2,Student,2,2,23,Blue,0.1121199680165524,3.090866267603147,False,Blue,07:26:08.115292,31.9,0.56,1.0,Blue
2,Student,2,2,24,Orange,-1.3511900230952694,-2.7609200913336656,False,Blue,07:26:09.401121,29.9,0.06,0.0,Orange
2,Student,2,2,25,Blue,1.2401069460640726,0.6438985899464063,False,Blue,07:26:11.190116,31.9,0.92,0.98,Blue
2,Student,2,2,26,Orange,-0.6668359971400124,-0.9671628165697714,False,Blue,07:26:12.653655,29.9,0.21,0.04,Orange
2,Student,2,2,27,Orange,-0.7085190761640274,0.0102530222243746,False,Blue,07:26:14.102303,27.9,0.2,0.2,Blue
2,Student,2,2,28,Orange,-1.7509134429543274,-2.7551679843571337,False,Blue,07:26:15.473275,25.9,0.03,0.0,Orange
2,Student,2,2,29,Blue,1.2842405819113305,-0.5768167917727756,False,Blue,07:26:16.755895,27.9,0.93,0.8,Orange
2,Student,2,2,30,Orange,-1.8913224422835817,-1.2636906005834174,False,Blue,07:26:18.021399,25.9,0.02,0.0,Orange
2,Student,2,2,31,Blue,2.04614469553185,0.6082013301962822,False,Blue,07:26:19.394149,27.9,0.98,1.0,Blue
2,Student,2,2,32,Blue,2.240007017599008,-0.1921743200834129,False,Blue,07:26:20.888237,29.9,0.99,0.98,Orange
2,Student,2,2,33,Orange,-0.6027183557830157,-0.2826072551987674,False,Blue,07:26:22.800540,27.9,0.23,0.15,Orange
2,Student,2,2,34,Orange,-1.4944447749906424,-1.485509374290153,False,Blue,07:26:24.112282,25.9,0.05,0.0,Orange
2,Student,2,2,35,Blue,-0.2468151123486861,1.1906832406539836,False,Blue,07:26:25.564480,27.9,0.38,0.87,Blue
2,Student,2,2,36,Blue,0.3215647365975319,0.2997155983451423,False,Blue,07:26:26.881214,29.9,0.66,0.78,Blue
2,Student,2,2,37,Blue,0.3152043748711596,0.2091766804445245,False,Blue,07:26:28.312183,31.9,0.65,0.74,Blue
2,Student,2,2,38,Blue,0.5781830831440818,2.351549337897131,False,Blue,07:26:29.806415,33.9,0.76,1.0,Blue
2,Student,2,2,39,Orange,0.1864062064989897,-0.7182932947293803,False,Blue,07:26:31.222572,31.9,0.59,0.26,Orange
2,Student,2,2,40,Orange,-1.4166464789462931,-1.5265568818894475,False,Blue,07:26:32.749684,29.9,0.06,0.0,Orange
2,Student,2,2,41,Orange,-2.17047622256512,-1.4792284923050367,False,Blue,07:26:34.196183,27.9,0.01,0.0,Orange
2,Student,2,2,42,Orange,-1.1371100127417817,-0.6236190397513639,False,Blue,07:26:35.527941,25.9,0.09,0.03,Orange
2,Student,2,2,43,Blue,1.0860410991927285,0.2125860929209836,False,Blue,07:26:36.932972,27.9,0.9,0.93,Blue
2,Student,2,2,44,Orange,-0.2413392010118767,-0.7176766894690749,False,Blue,07:26:38.338624,25.9,0.38,0.13,Orange
2,Student,2,2,45,Blue,2.951466088235488,0.9053526451348348,False,Blue,07:26:40.229274,27.9,1.0,1.0,Blue
2,Student,2,2,46,Blue,2.4953860329150386,2.1466654565023178,False,Blue,07:26:41.700401,29.9,0.99,1.0,Blue
2,Student,2,2,47,Blue,1.3369980702418358,0.2360972188620705,False,Blue,07:26:43.106106,31.9,0.94,0.96,Blue
2,Student,2,2,48,Orange,-1.1110864542517345,-1.0377069753984225,False,Blue,07:26:44.605134,29.9,0.1,0.01,Orange
2,Student,2,2,49,Orange,-1.553488006619253,-0.902006404994878,False,Blue,07:26:46.080382,27.9,0.04,0.01,Orange
2,Student,2,2,50,Blue,1.0052942194927676,0.1285921505690523,False,Blue,07:26:47.633441,29.9,0.88,0.91,Blue
2,Student,2,3,1,Blue,-0.0376746115213255,0.0556421273002398,False,Blue,07:26:53.370447,32.0,0.48,0.51,Blue
2,Student,2,3,2,Orange,-1.1680099031492377,-1.5853755762859951,False,Blue,07:26:56.526787,30.0,0.09,0.0,Orange
2,Student,2,3,3,Blue,3.264631633370715,0.6968807279606886,False,Blue,07:26:58.013993,32.0,1.0,1.0,Blue
